SampleID,Sex,Genotype,Experiment,Batch
A1__ZT0,M,WTWT,WTM,Batch1
A2__ZT0,M,WTWT,WTM,Batch1
A3__ZT0,M,WTWT,WTM,Batch1
A25__ZT0,M,WTWT,WTM,Batch1
A26__ZT0,M,WTWT,WTM,Batch1
A27__ZT0,M,WTWT,WTM,Batch1
B1__ZT0,F,WTWT,WTF,Batch1
B2__ZT0,F,WTWT,WTF,Batch1
B3__ZT0,F,WTWT,WTF,Batch1
B25__ZT0,F,WTWT,WTF,Batch1
B26__ZT0,F,WTWT,WTF,Batch1
B27__ZT0,F,WTWT,WTF,Batch1
A4__ZT3,M,WTWT,WTM,Batch1
A5__ZT3,M,WTWT,WTM,Batch1
A6__ZT3,M,WTWT,WTM,Batch1
A28__ZT3,M,WTWT,WTM,Batch1
A29__ZT3,M,WTWT,WTM,Batch1
A30__ZT3,M,WTWT,WTM,Batch1
B4__ZT3,F,WTWT,WTF,Batch1
B5__ZT3,F,WTWT,WTF,Batch1
B6__ZT3,F,WTWT,WTF,Batch1
B28__ZT3,F,WTWT,WTF,Batch1
B29__ZT3,F,WTWT,WTF,Batch1
B30__ZT3,F,WTWT,WTF,Batch1
A7__ZT6,M,WTWT,WTM,Batch1
A8__ZT6,M,WTWT,WTM,Batch1
A9__ZT6,M,WTWT,WTM,Batch1
A31__ZT6,M,WTWT,WTM,Batch1
A32__ZT6,M,WTWT,WTM,Batch1
A33__ZT6,M,WTWT,WTM,Batch1
B7__ZT6,F,WTWT,WTF,Batch1
B8__ZT6,F,WTWT,WTF,Batch1
B9__ZT6,F,WTWT,WTF,Batch1
B31__ZT6,F,WTWT,WTF,Batch1
B32__ZT6,F,WTWT,WTF,Batch1
B33__ZT6,F,WTWT,WTF,Batch1
A10__ZT9,M,WTWT,WTM,Batch1
A11__ZT9,M,WTWT,WTM,Batch1
A12__ZT9,M,WTWT,WTM,Batch1
A34__ZT9,M,WTWT,WTM,Batch1
A35__ZT9,M,WTWT,WTM,Batch1
A36__ZT9,M,WTWT,WTM,Batch1
B10__ZT9,F,WTWT,WTF,Batch1
B11__ZT9,F,WTWT,WTF,Batch1
B12__ZT9,F,WTWT,WTF,Batch1
B34__ZT9,F,WTWT,WTF,Batch1
B35__ZT9,F,WTWT,WTF,Batch1
B36__ZT9,F,WTWT,WTF,Batch1
A13__ZT12,M,WTWT,WTM,Batch1
A14__ZT12,M,WTWT,WTM,Batch1
A15__ZT12,M,WTWT,WTM,Batch1
A37__ZT12,M,WTWT,WTM,Batch1
A38__ZT12,M,WTWT,WTM,Batch1
A39__ZT12,M,WTWT,WTM,Batch1
